surface,species,dE_star,n_sites
Ag12,C1,-153.46731130650733,8
Ag12,C1H1,-171.53824398199504,4
Ag12,C1H2,-188.9842157974781,4
Ag12,C1H3,-206.9765538329375,4
Ag12,H1,-16.12071224997635,8
Ag12,H1N1,-291.84083111871587,6
Ag12,H1O1,-459.5998861353437,6
Ag12,H1S1,-349.01984359512426,4
Ag12,H2O1,-476.74207046952506,4
Ag12,N1,-273.6654611519625,8
Ag12,O1,-441.7422364226586,8
Ag12,S1,-332.7715835616182,8
Ag3Al9,C1,-156.5883450610454,5
Ag3Al9,C1H1,-174.33773931712494,9
Ag3Al9,C1H2,-190.8049851392043,9
Ag3Al9,C1H3,-207.86657261974506,9
Ag3Al9,H1,-16.12613983259871,6
Ag3Al9,H1N1,-294.864802683338,9
Ag3Al9,H1S1,-349.6433818439582,9
Ag3Al9,H2O1,-476.78852819308304,9
Ag3Al9,N1,-277.98654210549284,6
Ag3Al9,O1,-445.6236038623174,5
Ag3Al9,S1,-334.03757319558827,4
Ag3Au9,C1,-154.410990534132,9
Ag3Au9,C1H1,-172.41614785253114,9
Ag3Au9,C1H2,-189.4894506501696,9
Ag3Au9,C1H3,-207.24381479339718,9
Ag3Au9,H1,-16.13738044710408,9
Ag3Au9,H1N1,-291.92085857414713,9
Ag3Au9,H1O1,-459.0588635508793,36
Ag3Au9,H1S1,-349.05781680919245,9
Ag3Au9,H2O1,-476.816077814452,9
Ag3Au9,N1,-274.11504341842374,9
Ag3Au9,O1,-441.41689058642805,9
Ag3Au9,S1,-332.72347954932775,9
Ag3Bi9,C1,-154.74708513909718,4
Ag3Bi9,C1H1,-172.26882555633347,9
Ag3Bi9,C1H2,-189.8516583875462,7
Ag3Bi9,C1H3,-207.61197393253678,8
Ag3Bi9,H1,-15.89954710166785,4
Ag3Bi9,H1N1,-292.61922540747764,9
Ag3Bi9,H1O1,-460.3958966658465,54
Ag3Bi9,H1S1,-349.3788281440793,9
Ag3Bi9,H2O1,-476.94802676721156,9
Ag3Bi9,N1,-275.03678346778906,4
Ag3Bi9,O1,-442.87849972969707,4
Ag3Bi9,S1,-333.0019841175381,4
Ag3Cd9,C1,-153.49935692877625,5
Ag3Cd9,H1,-15.68271264510986,5
Ag3Cd9,N1,-274.3732506072374,5
Ag3Cd9,O1,-442.710441134499,5
Ag3Cd9,S1,-332.88988165154296,4
Ag3Cr9,C1,-157.93839664629922,5
Ag3Cr9,H1,-17.323505621840013,5
Ag3Cr9,N1,-278.92528668470914,5
Ag3Cr9,O1,-446.10901032380934,5
Ag3Cr9,S1,-335.51190991944895,5
Ag3Cu9,C1,-155.23032679894823,9
Ag3Cu9,C1H1,-173.04212859518157,9
Ag3Cu9,C1H2,-189.92443482552335,9
