pl_name,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmassprov,pl_orbper,pl_dens,discoverymethod,st_teff,st_mass,st_met
"Kepler-1597 b",1.06000000,0.47000000,-0.17000000,1.20000000,,,"M-R relationship",2.94654179000,5.540000,"Transit",6377.00,1.250000,0.0200
"Kepler-687 b",3.52000000,0.16000000,-0.20000000,12.20000000,,,"M-R relationship",20.50586978000,1.540000,"Transit",4841.00,0.770000,-0.0400
"Kepler-1596 b",1.90000000,0.25000000,-0.17000000,4.27000000,,,"M-R relationship",66.37337900000,3.420000,"Transit",5706.00,0.950000,-0.1100
"Kepler-692 b",3.11000000,0.37000000,-0.23000000,9.85000000,,,"M-R relationship",21.81293494000,1.800000,"Transit",5440.00,0.900000,-0.0100
"Kepler-150 c",3.69000000,0.59000000,-0.59000000,13.20000000,,,"M-R relationship",7.38199800000,1.440000,"Transit",5560.00,0.956000,0.1200
"Kepler-1494 b",3.07000000,0.46000000,-0.57000000,9.64000000,,,"M-R relationship",91.08048200000,1.830000,"Transit",5659.00,0.960000,0.0100
"Kepler-1502 b",3.18000000,1.12000000,-0.64000000,10.20000000,,,"M-R relationship",41.70836290000,1.740000,"Transit",6666.00,1.440000,0.0500
"Kepler-1490 b",3.04000000,0.37000000,-0.63000000,9.48000000,,,"M-R relationship",92.43629730000,1.850000,"Transit",5515.00,0.900000,-0.0800
"Kepler-1491 b",1.51000000,0.35000000,-0.14000000,2.89000000,,,"M-R relationship",16.58617620000,4.610000,"Transit",5728.00,1.000000,0.0600
"Kepler-171 b",2.34000000,1.05000000,-1.05000000,6.08000000,,,"M-R relationship",4.16697200000,2.610000,"Transit",5642.00,0.978000,0.1700
"Kepler-1926 b",2.31495961,,,5.97000000,,,"M-R relationship",42.87770081000,2.640000,"Transit",5256.00,0.768000,-0.1600
"Kepler-1631 b",1.35000000,0.20000000,-0.15000000,2.39000000,,,"M-R relationship",4.09513932000,5.340000,"Transit",5679.00,0.970000,0.0400
"KOI-1599.02",1.90000000,0.20000000,-0.20000000,9.00000000,0.30000000,-0.30000000,"Mass",13.60880000000,7.210000,"Transit",5833.00,1.020000,0.0600
"Kepler-719 b",8.52000000,1.83000000,-0.90000000,54.50000000,,,"M-R relationship",5.00731777900,0.484000,"Transit",5777.00,0.990000,-0.0200
"Kepler-734 b",3.56000000,0.14000000,-0.13000000,12.40000000,,,"M-R relationship",6.10485285600,1.510000,"Transit",5326.00,0.850000,-0.1700
"Kepler-1408 b",0.89000000,68.91000000,-0.15000000,0.64000000,,,"M-R relationship",2.99793191000,4.990000,"Transit",6170.00,1.210000,0.0000
"Kepler-1427 b",1.10000000,0.24000000,-0.12000000,1.37000000,,,"M-R relationship",0.96897237600,5.660000,"Transit",5793.00,1.010000,0.0600
"Kepler-1665 b",2.83910787,,,8.44000000,,,"M-R relationship",11.95480000000,2.030000,"Transit",5049.84,0.842000,-0.0130
"Kepler-342 e",0.88000000,0.08000000,-0.06000000,0.61500000,,,"M-R relationship",1.64422461300,4.960000,"Transit",6366.00,1.260000,0.1200
"Kepler-267 b",1.98000000,0.09000000,-0.09000000,37.90000000,21.30000000,-17.90000000,"Mass",3.35372800000,26.800000,"Transit",4258.00,0.541571,-0.1800
"Kepler-1738 b",2.82472883,,,8.37000000,,,"M-R relationship",7.67463016500,2.040000,"Transit",6063.00,1.079000,-0.0200
"Kepler-746 b",1.11000000,0.13000000,-0.09000000,1.41000000,,,"M-R relationship",3.48159251000,5.670000,"Transit",5418.00,0.910000,0.0900
"Kepler-760 b",3.06000000,0.26000000,-0.24000000,9.59000000,,,"M-R relationship",8.70419416000,1.840000,"Transit",5322.00,0.890000,0.0800
"Kepler-272 c",1.79000000,0.96000000,-0.96000000,97.80000000,55.50000000,-33.90000000,"Mass",6.05734200000,93.700000,"Transit",5297.00,0.910000,0.0400
"Kepler-775 b",1.19000000,0.04000000,-0.04000000,1.81000000,,,"M-R relationship",0.97486892600,5.900000,"Transit",5468.00,0.920000,-0.0400
"Kepler-498 b",3.03000000,0.50000000,-0.34000000,9.43000000,,,"M-R relationship",9.61375356000,1.860000,"Transit",5744.00,0.980000,-0.0400
"Kepler-877 b",2.12000000,0.14000000,-0.27000000,5.14000000,,,"M-R relationship",18.45847097000,2.960000,"Transit",5261.00,0.850000,-0.0600
"Kepler-865 b",2.49000000,0.49000000,-0.24000000,6.76000000,,,"M-R relationship",14.16399294000,2.410000,"Transit",5570.00,0.930000,-0.0100
"Kepler-288 c",2.85000000,1.36000000,-1.36000000,8.50000000,,,"M-R relationship",19.30577200000,2.020000,"Transit",5918.00,0.842000,-0.2400
"Kepler-794 b",2.11000000,0.52000000,-0.34000000,5.10000000,,,"M-R relationship",11.13125132000,2.980000,"Transit",5839.00,1.190000,0.3400
