pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_dens,pl_insol,pl_eqt,pl_orbeccen,pl_ratror,pl_ratdor,pl_trandep,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_pnum,pl_ratror_reflink,pl_ratdor_reflink,pl_trandep_reflink
"Kepler-1597 b",1.06000000,1.20000000,2.94654179000,0.0413600000,5.540000,1431.3110,1497.00,0.000000,0.00710500,7.208000,0.00570000,6377.00,1.390000,1.250000,0.0200,4.240000,1221.05000000,1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>"
"Kepler-687 b",3.52000000,12.20000000,20.50586978000,0.1326000000,1.540000,15.6480,518.00,0.000000,0.04357200,39.050000,0.21055000,4841.00,0.730000,0.770000,-0.0400,4.600000,633.66000000,1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>"
"Kepler-1596 b",1.90000000,4.27000000,66.37337900000,0.3237000000,3.420000,33.3780,471.00,0.000000,0.01893800,46.210000,0.04150000,5706.00,0.920000,0.950000,-0.1100,4.490000,2146.23000000,1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>"
"Kepler-692 b",3.11000000,9.85000000,21.81293494000,0.1495000000,1.800000,28.5040,639.00,0.000000,0.03322900,39.183000,0.11754000,5440.00,0.860000,0.900000,-0.0100,4.530000,991.33600000,1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>"
"Kepler-150 c",3.69000000,13.20000000,7.38199800000,0.0730000000,1.440000,132.0910,876.00,0.000000,0.03422200,18.652000,0.15118000,5560.00,0.939000,0.956000,0.1200,4.466000,891.09200000,5,"<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>"
"Kepler-1494 b",3.07000000,9.64000000,91.08048200000,0.3982000000,1.830000,9.1130,415.00,0.000000,0.03037500,33.700000,0.07386000,5659.00,0.940000,0.960000,0.0100,4.480000,1285.48000000,1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>"
"Kepler-1502 b",3.18000000,10.20000000,41.70836290000,0.2482000000,1.740000,77.3240,608.00,0.000000,0.01674200,33.100000,0.03300000,6666.00,1.720000,1.440000,0.0500,4.130000,1514.02000000,1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>"
"Kepler-1490 b",3.04000000,9.48000000,92.43629730000,0.3729000000,1.850000,3.7880,348.00,0.000000,0.03178400,47.100000,0.08302000,5515.00,0.870000,0.900000,-0.0800,4.520000,862.92000000,1,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>"
"Kepler-1491 b",1.51000000,2.89000000,16.58617620000,0.1270000000,4.610000,138.1080,821.00,0.000000,0.01392100,18.000000,0.02313000,5728.00,0.990000,1.000000,0.0600,4.450000,2065.59000000,2,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>"
"Kepler-171 b",2.34000000,6.08000000,4.16697200000,0.0500000000,2.610000,304.1780,1053.00,0.000000,0.02693100,11.973000,0.08799000,5642.00,0.839000,0.978000,0.1700,4.566000,863.85500000,3,"<a refstr=FULTON__AMP__PETIGURA_2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..264F/abstract target=ref>Fulton &amp; Petigura 2018</a>","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>"
