hostname,pl_name,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmassprov,pl_dens,pl_insol,st_mass,st_teff,discoverymethod
"Kepler-1597","Kepler-1597 b",1,2.94654179000,0.0413600000,1.06000000,0.47000000,-0.17000000,1.20000000,,,"M-R relationship",5.540000,1431.3110,1.250000,6377.00,"Transit"
"Kepler-687","Kepler-687 b",1,20.50586978000,0.1326000000,3.52000000,0.16000000,-0.20000000,12.20000000,,,"M-R relationship",1.540000,15.6480,0.770000,4841.00,"Transit"
"Kepler-1596","Kepler-1596 b",1,66.37337900000,0.3237000000,1.90000000,0.25000000,-0.17000000,4.27000000,,,"M-R relationship",3.420000,33.3780,0.950000,5706.00,"Transit"
"Kepler-692","Kepler-692 b",1,21.81293494000,0.1495000000,3.11000000,0.37000000,-0.23000000,9.85000000,,,"M-R relationship",1.800000,28.5040,0.900000,5440.00,"Transit"
"Kepler-150","Kepler-150 c",5,7.38199800000,0.0730000000,3.69000000,0.59000000,-0.59000000,13.20000000,,,"M-R relationship",1.440000,132.0910,0.956000,5560.00,"Transit"
"Kepler-1494","Kepler-1494 b",1,91.08048200000,0.3982000000,3.07000000,0.46000000,-0.57000000,9.64000000,,,"M-R relationship",1.830000,9.1130,0.960000,5659.00,"Transit"
"Kepler-1502","Kepler-1502 b",1,41.70836290000,0.2482000000,3.18000000,1.12000000,-0.64000000,10.20000000,,,"M-R relationship",1.740000,77.3240,1.440000,6666.00,"Transit"
"Kepler-1490","Kepler-1490 b",1,92.43629730000,0.3729000000,3.04000000,0.37000000,-0.63000000,9.48000000,,,"M-R relationship",1.850000,3.7880,0.900000,5515.00,"Transit"
"Kepler-1491","Kepler-1491 b",2,16.58617620000,0.1270000000,1.51000000,0.35000000,-0.14000000,2.89000000,,,"M-R relationship",4.610000,138.1080,1.000000,5728.00,"Transit"
"Kepler-171","Kepler-171 b",3,4.16697200000,0.0500000000,2.34000000,1.05000000,-1.05000000,6.08000000,,,"M-R relationship",2.610000,304.1780,0.978000,5642.00,"Transit"
"Kepler-1926","Kepler-1926 b",1,42.87770081000,0.2197000000,2.31495961,,,5.97000000,,,"M-R relationship",2.640000,9.8000,0.768000,5256.00,"Transit"
"Kepler-1631","Kepler-1631 b",1,4.09513932000,0.0511000000,1.35000000,0.20000000,-0.15000000,2.39000000,,,"M-R relationship",5.340000,446.9180,0.970000,5679.00,"Transit"
"KOI-1599","KOI-1599.02",2,13.60880000000,0.1122930000,1.90000000,0.20000000,-0.20000000,9.00000000,0.30000000,-0.30000000,"Mass",7.210000,76.8100,1.020000,5833.00,"Transit"
"Kepler-719","Kepler-719 b",1,5.00731777900,0.0556000000,8.52000000,1.83000000,-0.90000000,54.50000000,,,"M-R relationship",0.484000,234.2800,0.990000,5777.00,"Transit"
"Kepler-734","Kepler-734 b",1,6.10485285600,0.0583000000,3.56000000,0.14000000,-0.13000000,12.40000000,,,"M-R relationship",1.510000,89.2500,0.850000,5326.00,"Transit"
"Kepler-1408","Kepler-1408 b",1,2.99793191000,0.0421800000,0.89000000,68.91000000,-0.15000000,0.64000000,,,"M-R relationship",4.990000,1982.2680,1.210000,6170.00,"Transit"
"Kepler-1427","Kepler-1427 b",1,0.96897237600,0.0197000000,1.10000000,0.24000000,-0.12000000,1.37000000,,,"M-R relationship",5.660000,2730.5100,1.010000,5793.00,"Transit"
"Kepler-1665","Kepler-1665 b",1,11.95480000000,0.0960000000,2.83910787,,,8.44000000,,,"M-R relationship",2.030000,40.4000,0.842000,5049.84,"Transit"
"Kepler-342","Kepler-342 e",4,1.64422461300,0.0290900000,0.88000000,0.08000000,-0.06000000,0.61500000,,,"M-R relationship",4.960000,3111.3220,1.260000,6366.00,"Transit"
"Kepler-267","Kepler-267 b",3,3.35372800000,0.0370000000,1.98000000,0.09000000,-0.09000000,37.90000000,21.30000000,-17.90000000,"Mass",26.800000,45.8430,0.541571,4258.00,"Transit"
"Kepler-1738","Kepler-1738 b",1,7.67463016500,0.0781000000,2.82472883,,,8.37000000,,,"M-R relationship",2.040000,198.6700,1.079000,6063.00,"Transit"
"Kepler-746","Kepler-746 b",1,3.48159251000,0.0435000000,1.11000000,0.13000000,-0.09000000,1.41000000,,,"M-R relationship",5.670000,421.6100,0.910000,5418.00,"Transit"
"Kepler-760","Kepler-760 b",2,8.70419416000,0.0808700000,3.06000000,0.26000000,-0.24000000,9.59000000,,,"M-R relationship",1.840000,84.4060,0.890000,5322.00,"Transit"
"Kepler-272","Kepler-272 c",3,6.05734200000,0.0610000000,1.79000000,0.96000000,-0.96000000,97.80000000,55.50000000,-33.90000000,"Mass",93.700000,310.7600,0.910000,5297.00,"Transit"
"Kepler-775","Kepler-775 b",1,0.97486892600,0.0183400000,1.19000000,0.04000000,-0.04000000,1.81000000,,,"M-R relationship",5.900000,1496.7500,0.920000,5468.00,"Transit"
"Kepler-498","Kepler-498 b",1,9.61375356000,0.0897000000,3.03000000,0.50000000,-0.34000000,9.43000000,,,"M-R relationship",1.860000,202.7750,0.980000,5744.00,"Transit"
"Kepler-877","Kepler-877 b",1,18.45847097000,0.1301000000,2.12000000,0.14000000,-0.27000000,5.14000000,,,"M-R relationship",2.960000,37.8100,0.850000,5261.00,"Transit"
"Kepler-865","Kepler-865 b",2,14.16399294000,0.1057000000,2.49000000,0.49000000,-0.24000000,6.76000000,,,"M-R relationship",2.410000,46.3620,0.930000,5570.00,"Transit"
"Kepler-288","Kepler-288 c",3,19.30577200000,0.1400000000,2.85000000,1.36000000,-1.36000000,8.50000000,,,"M-R relationship",2.020000,53.1480,0.842000,5918.00,"Transit"
"Kepler-794","Kepler-794 b",1,11.13125132000,0.1003600000,2.11000000,0.52000000,-0.34000000,5.10000000,,,"M-R relationship",2.980000,299.9700,1.190000,5839.00,"Transit"
"Kepler-485","Kepler-485 b",1,3.24325979600,0.0440100000,14.41000000,3.38000000,-1.63000000,,,,"Msini",,622.0140,1.070000,5958.00,"Transit"
"Kepler-340","Kepler-340 c",2,22.82466900000,0.1780000000,3.37000000,0.77000000,-0.77000000,11.30000000,,,"M-R relationship",1.620000,154.6530,1.650000,6620.00,"Transit"
